Date,Open.SBI,High.SBI,Low.SBI,Close.SBI,Adj Close.SBI,Volume.SBI,Open.RCOM,High.Rcom,Low.Rcom,Close.Rcom,Adj Close.Rcom,Volume.Rcom,Open.kcp,High.kcp,Low.kcp,Close.kcp,Adj Close.kcp,Volume.kcp,Open.HDFC,High.HDFC,Low.HDFC,Close.HDFC,Adj Close.HDFC,Volume.HDFC,Open.HATH,High.HATH,Low.HATH,Close.HATH,Adj Close.HATH,Volume.HATH
7/13/2017,288.899994,290,286.549988,288.75,288.75,8434324,24.299999,24.6,23.65,23.950001,23.950001,18775020,110.5,111.150002,108.75,109.050003,106.944794,25272,1688,1693.300049,1679.650024,1683.550049,1683.550049,1120251,36.349998,36.349998,34.5,34.650002,34.650002,26909
7/14/2017,288.799988,293.600006,287.25,291.600006,291.600006,13750192,23.950001,24.450001,23.700001,24.299999,24.299999,17208260,109.5,109.5,106.300003,107.300003,105.228577,26609,1683.900024,1686.050049,1672,1679.949951,1679.949951,610813,34.700001,34.700001,34.049999,34.299999,34.299999,24956
7/17/2017,292.799988,294.100006,289.649994,293,293,10549310,24.200001,24.75,24.200001,24.35,24.35,8709874,110.800003,110.800003,107.099998,107.650002,105.571815,11683,1682.550049,1687.650024,1677,1682.349976,1682.349976,599835,34.099998,34.599998,33.900002,34,34,12406
7/18/2017,291.850006,296.399994,290,291,291,11913832,24.5,24.700001,23.450001,23.700001,23.700001,18202674,109.900002,109.900002,104.949997,105.550003,103.51236,32521,1679.699951,1687.849976,1677.349976,1683.550049,1683.550049,580547,34,34.200001,33.849998,34,34,10127
7/19/2017,291.5,294,291.399994,293.299988,293.299988,9006728,23.799999,24.9,23.799999,24.75,24.75,28816833,106.699997,108,106,106.849998,104.787262,106772,1685,1696.199951,1681.849976,1692.300049,1692.300049,996811,34.400002,34.400002,33.700001,34.099998,34.099998,13508
7/20/2017,293,294.25,290.049988,290.950012,290.950012,6256500,24.5,24.700001,24.1,24.450001,24.450001,11478546,108,108.449997,105.300003,105.800003,103.757538,26280,1693.900024,1715,1688.150024,1710.900024,1710.900024,924619,34,36.349998,33.599998,34.900002,34.900002,125926
7/21/2017,291.049988,292.200012,288.25,290.649994,290.649994,7266604,24.5,24.75,23.799999,24.25,24.25,20771213,107,107.800003,106,106.449997,104.394981,23124,1714.099976,1715.25,1700,1703.050049,1703.050049,968377,35,35.650002,33.200001,34,34,87128
7/24/2017,290.799988,296.299988,290.700012,294.549988,294.549988,11195781,24.299999,24.950001,24.1,24.75,24.75,19701090,107.449997,107.449997,105,105.400002,103.365257,18159,1710,1740,1695,1735.099976,1735.099976,4919544,34,34.299999,32.700001,33.5,33.5,53064
7/25/2017,296,297.299988,294.649994,296.100006,296.100006,10846999,24.85,25.950001,24.799999,25.549999,25.549999,30939505,105.75,107.5,105,105.599998,103.561394,13958,1759,1759,1733.050049,1739.650024,1739.650024,2790117,33.349998,33.5,32.900002,32.950001,32.950001,34912
7/26/2017,296.25,299.649994,295.25,295.799988,295.799988,12527914,25.75,25.85,25.200001,25.700001,25.700001,15106273,106.699997,107.150002,105,105.449997,103.414284,23481,1742,1755,1732.5,1747.550049,1747.550049,973836,33,35,32.799999,34.349998,34.349998,46461
7/27/2017,297,299.850006,296.200012,298.350006,298.350006,22286060,25.75,25.950001,25.15,25.700001,25.700001,22668898,105.050003,106.5,104.5,104.849998,102.825867,25918,1756,1798.800049,1751.550049,1789.650024,1789.650024,4490428,34.349998,34.349998,33.099998,33.200001,33.200001,46981
7/28/2017,297,300.75,295.600006,299.100006,299.100006,15766196,25.5,26.700001,25.200001,26.450001,26.450001,22469321,105,105.900002,104.150002,104.5,102.482628,9051,1772,1786.5,1761.099976,1778.5,1778.5,2313849,32.799999,33,32.599998,32.75,32.75,10936
7/31/2017,299.399994,313.850006,298,312.5,312.5,41547584,26.200001,26.6,25.65,26.25,26.25,18081784,105.400002,105.400002,103.099998,103.650002,101.64904,17855,1777.550049,1791,1766.550049,1784.400024,1784.400024,1842285,32.200001,33.049999,32,32.349998,32.349998,25568
8/1/2017,314,314.799988,307.950012,309,309,14888804,26.4,26.549999,25.65,25.799999,25.799999,8980784,104.099998,105.300003,102.199997,102.800003,100.815453,26816,1781.849976,1809.150024,1772.199951,1797.199951,1797.199951,2129215,32.549999,33,32.299999,32.549999,32.549999,8842
8/2/2017,310,311.799988,305.299988,307.700012,307.700012,17005571,25.799999,26.049999,24.700001,25,25,13264344,102.949997,104.099998,101.5,102.050003,100.079926,13640,1807,1807,1782.050049,1791.650024,1791.650024,1849479,33,33,32.400002,32.700001,32.700001,9360
8/3/2017,307,307.399994,299.100006,300.549988,300.549988,14459919,24.75,24.75,22.85,23.1,23.1,33210562,100.800003,103.849998,100.800003,102.25,100.276062,14701,1788,1792,1774.400024,1779.949951,1779.949951,1064196,32.400002,33.349998,31.6,32,32,16719
8/4/2017,300.299988,306.299988,297.600006,305.25,305.25,9615344,23.35,23.65,22.1,23.299999,23.299999,20596221,102.25,102.949997,101,101.699997,99.736679,17790,1777,1796.75,1766.150024,1790.25,1790.25,886267,31.6,32.849998,31.6,32.200001,32.200001,14312
8/7/2017,305.799988,311.799988,305.149994,311.200012,311.200012,11420767,23.299999,24.1,23.25,23.9,23.9,10010204,102.800003,104.699997,102.599998,103.099998,101.109657,14128,1786,1796.449951,1785,1788.550049,1788.550049,479665,32.150002,32.700001,32.150002,32.299999,32.299999,18005
